# Rime user dictionary
#@/db_name	pinyin_simp
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	525
#@/user_id	af4251e3-7603-416e-8421-a398478b49bc
a 	啊	c=2 d=1.7291 t=525
ni 	你	c=4 d=2.58601 t=525
ni hao 	你好	c=1 d=1 t=525
nong 	弄	c=1 d=0.847894 t=525
ou 	偶	c=0 d=0.0904837 t=525
pai xu 	排序	c=1 d=0.965605 t=525
pei zhi 	配置	c=7 d=5.51376 t=525
qi 	其	c=1 d=0.946485 t=525
qi dong 	启动	c=2 d=1.74464 t=525
qian duan 	前端	c=1 d=0.951229 t=525
qing chu 	清楚	c=1 d=0.860708 t=525
qing kuang 	情况	c=1 d=0.843665 t=525
qu 	去	c=2 d=1.56326 t=525
qu 	取	c=1 d=0.985112 t=525
que ren 	确认	c=1 d=0.927743 t=525
rang 	让	c=1 d=0.790571 t=525
ru he 	如何	c=10 d=6.30426 t=525
ruan jian 	软件	c=1 d=0.941765 t=525
sha 	啥	c=1 d=0.852144 t=525
shang 	上	c=1 d=0.891366 t=525
shang chuan 	上传	c=1 d=0.744532 t=525
shang xian 	上线	c=3 d=1.95356 t=525
shen 	身	c=1 d=0.951229 t=525
sheng chan 	生产	c=3 d=2.48517 t=525
shi 	是	c=11 d=6.6896 t=525
shi fou 	是否	c=1 d=0.970446 t=525
shi qing 	事情	c=1 d=0.900325 t=525
shi shi 	试试	c=1 d=0.946485 t=525
shi yong 	使用	c=10 d=7.86247 t=525
shou ce 	手册	c=1 d=0.873716 t=525
shou dong 	手动	c=2 d=1.85215 t=525
shou ji 	手机	c=1 d=0.941765 t=525
shu 	数	c=9 d=5.21524 t=525
shu chu 	输出	c=3 d=2.8715 t=525
shu ju ku 	数据库	c=1 d=0.99005 t=525
shu zi 	数字	c=1 d=1 t=525
shui jiao 	睡觉	c=1 d=1 t=525
shun xu 	顺序	c=1 d=0.900325 t=525
shuo 	说	c=5 d=3.18807 t=525
shuo ming 	说明	c=1 d=0.909373 t=525
si 	四	c=1 d=0.99005 t=525
sui sheng 	随声	c=1 d=0.946485 t=525
ta 	她	c=1 d=0.895834 t=525
ta 	它	c=1 d=0.794534 t=525
tai da 	太大	c=1 d=0.980199 t=525
tian xie 	填写	c=2 d=1.851 t=525
tui chu 	推出	c=1 d=0.995012 t=525
wan 	晚	c=1 d=0.965605 t=525
wang luo 	网络	c=1 d=0.946485 t=525
wei 	为	c=3 d=2.70632 t=525
wei 	未	c=2 d=1.84091 t=525
wei shen me 	为什么	c=2 d=1.75315 t=525
wei zhi 	位置	c=2 d=1.65066 t=525
wen 	问	c=1 d=0.878095 t=525
wen dang 	文档	c=4 d=2.44935 t=525
wen jian 	文件	c=4 d=2.95069 t=525
wen jian ma 	文件吗	c=1 d=1 t=525
wo 	我	c=11 d=6.37663 t=525
wu 	无	c=2 d=1.97025 t=525
wu fa 	无法	c=2 d=1.87528 t=525
xi tong 	系统	c=1 d=0.895834 t=525
xi zao 	洗澡	c=0 d=0.0960789 t=525
xi zao ba 	洗澡吧	c=1 d=0.965605 t=525
xia 	下	c=1 d=0.882497 t=525
xia ban 	下班	c=1 d=0.847894 t=525
xian ka 	显卡	c=2 d=1.9362 t=525
xian zhi 	限制	c=2 d=1.81873 t=525
xiang qi lai 	响起来	c=1 d=0.99005 t=525
xie 	写	c=2 d=1.58689 t=525
xing neng 	性能	c=2 d=1.91238 t=525
xiu gai 	修改	c=2 d=1.90727 t=525
xiu mian 	休眠	c=4 d=3.77018 t=525
xu yao 	需要	c=4 d=2.6996 t=525
ya 	呀	c=6 d=3.67506 t=525
yan ge 	严格	c=1 d=0.985112 t=525
yan zheng 	验证	c=1 d=0.941765 t=525
yao 	要	c=1 d=0.985112 t=525
ye 	也	c=5 d=3.39264 t=525
ye shi 	也是	c=2 d=1.55375 t=525
yi 	一	c=2 d=1.87451 t=525
yi bao 	医保	c=1 d=0.70822 t=525
yi ji 	一级	c=1 d=0.878095 t=525
yi jing 	已经	c=1 d=0.946485 t=525
yi xia 	一下	c=1 d=0.818731 t=525
yi zhi 	一直	c=1 d=0.985112 t=525
yin qing 	引擎	c=1 d=0.99005 t=525
ying 	应	c=1 d=0.97531 t=525
ying wen 	英文	c=1 d=0.995012 t=525
ying xiang 	影响	c=1 d=0.995012 t=525
ying yong 	应用	c=2 d=1.4823 t=525
yong 	用	c=1 d=0.995012 t=525
yong hu ming 	用户名	c=1 d=0.818731 t=525
you 	有	c=4 d=2.9041 t=525
you qu 	又去	c=1 d=0.97531 t=525
yu 	与	c=1 d=0.970446 t=525
yu ju 	语句	c=1 d=0.99005 t=525
yu ming 	域名	c=1 d=0.946485 t=525
yue 	月	c=2 d=1.49221 t=525
yun xu 	允许	c=1 d=0.955997 t=525
zai 	再	c=1 d=0.960789 t=525
zai 	在	c=2 d=1.63379 t=525
zen me 	怎么	c=1 d=0.99005 t=525
zeng jia 	增加	c=2 d=1.75235 t=525
